peptone,lawnVolume,growthTimeCondition,OD600,slope,intercept,sse,rsquare,dfe,adjrsquare,rmse
with,0.5,0,0.05,0.0003222474698796,0.010439398617026,8.714049504995,0.751222987174341,1055,0.750987179579246,0.0908832358797611
with,0.5,0,0.1,0.0003222474698796,0.0208787972340521,8.714049504995,0.751222987174341,1055,0.750987179579246,0.0908832358797611
with,0.5,0,0.5,0.000303392352908519,0.0630612859969716,0.200887539265642,0.381246719819039,303,0.379204629785439,0.0257486927647702
with,0.5,0,1,0.000493136694201553,0.166054490420557,2.15342644923925,0.169904148921951,368,0.167648453674457,0.0764964202281085
with,0.5,0,2,0.00117462870985626,0.313271866430167,4.10220073046919,0.387903640816313,380,0.386292860923725,0.103900265063098
with,0.5,0,3,0.00153224692789231,0.40976165214795,7.62121036097125,0.373706446580757,379,0.372053956993899,0.141805269513039
with,0.5,0,4,0.00342824282410593,0.632443352896273,19.166233016638,0.540506179671595,380,0.539296985407573,0.224582847312394
with,0.5,0,5,0.00375046780979825,0.757399430039382,23.9611137436242,0.521322122586897,382,0.520069039138171,0.250450451483384
with,0.5,0,10,0.00790452372221787,1.18722381698761,137.396272731301,0.457784996015704,394,0.456408815802546,0.590526463754306
with,0.5,12,1,0.0244138615119693,-10.1281405538289,1398.93079514306,0.772380026479471,441,0.771863881414799,1.78106110894427
with,0.5,48,1,0.00905325375070762,15.6030701147409,43213.8395809721,0.00676729011357313,330,0.00375749402300829,11.4433836356756
with,20,0,0.05,0.00377987990338863,0.114393185372361,51.0347758972898,0.925129996001452,194,0.92474406814579,0.512899459095707
with,20,0,0.1,0.00377987990338863,0.228786370744721,51.0347758972898,0.925129996001452,194,0.92474406814579,0.512899459095707
with,20,0,0.5,0.00282901830256914,0.776256054211195,0.964889464090068,0.798812898003643,63,0.795619451940208,0.123756639333845
with,20,0,1,0.00597122367039138,1.86866367386857,0.920158707994312,0.955458023076213,57,0.954676584884568,0.127055638316331
with,20,0,2,0.00951876509557446,3.53864804337834,5.89623880954254,0.905002277848459,70,0.903645167532008,0.290227467675726
with,20,0,3,0.0110316439225275,5.57594354292622,31.286614955009,0.653555728545565,64,0.64814253680409,0.699180490769026
with,20,0,4,0.0157322438795746,8.26611666341262,12.5300509406522,0.904257050532577,58,0.902606310024518,0.464796042416164
with,20,0,5,0.017632668060139,11.0147449359221,50.7276388894386,0.713253719141272,46,0.707020104339996,1.05013082921418
with,20,0,10,0.0270024412057681,18.670264079651,36.5177784068062,0.889781352604211,46,0.887385295052129,0.890990879848974
with,20,48,1,0.000107174559826475,72.2900777958655,174.657068363941,3.68091667124482e-06,10,-0.0999959509916617,4.17919930565582
with,200,48,1,-0.0068073569795203,55.7163386537397,380.171125848451,0.0616882039340571,43,0.039866999374384,2.97341369022539
without,0.5,0,0.5,8.59843875219904e-05,0.0592211154109628,0.0961141337421811,0.0250901423601649,181,0.0197039000527625,0.0230438129113372
without,0.5,0,1,1.33205048800573e-05,0.122463904511906,0.426202707302201,0.000189290538046727,235,-0.00406522311923818,0.0425867179025514
without,0.5,0,2,0.000102897848022518,0.266959642115916,4.80296113661103,0.00100684504978898,238,-0.00319060518109437,0.142058118308519
without,0.5,0,3,1.58200166835702e-05,0.401753469344905,7.68451722742007,1.49278196028835e-05,238,-0.00418669013073503,0.179688306548224
without,0.5,0,4,0.000135169592668865,0.562842653107497,11.1567661220254,0.000745153192208803,238,-0.00345339658429467,0.216511359009034
without,0.5,0,5,8.34575576574826e-05,0.682752822313687,19.2239655016604,0.000164308370063759,235,-0.00409031159431894,0.286014175378956
without,0.5,0,10,0.000449417468259633,1.21442189391568,17.0550840120524,0.00609034211235837,250,0.00211470348080778,0.261190229618586
